NDVI,QA,TIMEOFDAY,date
4542.927315944204,640.9962468723938,436.0,2022-07-19
3946.224932415825,1375.623376623377,502.6214057507985,2022-07-20
5914.375522822332,1034.954962468724,536.0,2022-07-21
6161.504819058012,445.48004289288696,518.0,2022-07-22
6543.897564469915,254.5903133563684,500.0,2022-07-23
6347.1679596108825,422.03711426188494,442.0,2022-07-24
5666.034522162746,1115.9327415703565,544.3718048956517,2022-07-25
6071.281639384313,1023.0053616108663,542.0,2022-07-26
909.2646541795476,1803.5509353032294,542.0,2022-08-11
5926.617299426936,659.3900869772432,524.0,2022-08-12
5936.16595033429,516.8305730966281,506.0,2022-08-13
2247.8381088825217,1802.8217562254265,448.0,2022-08-14
135.6672367456633,1743.8535684498993,430.0,2022-08-15
4960.081483273849,1726.1340402716555,420.09606194422594,2022-08-16
377.0005969436485,1803.0648159180273,530.0,2022-08-17
3677.787658362126,1803.5509353032294,512.0,2022-08-18
1464.54047277937,1762.5891814607417,454.0,2022-08-19
4324.175365217919,1428.8825211485766,436.0,2022-08-20
1388.8166786055394,1802.883712617658,494.4675262655205,2022-08-21
-195.98202191848293,1752.245323483856,536.0,2022-08-22
-295.7393987054625,1603.6395806028836,518.0,2022-08-23
382.4694792992665,1780.2172048135355,500.0,2022-08-24
5483.913681275385,460.85809603240796,442.0,2022-08-25
4503.812092106883,905.6881925414035,523.2912202930673,2022-08-26
5369.265484546236,1379.55474800429,542.0,2022-08-27
3218.8346262775503,1804.0370546884312,524.0,2022-08-28
4429.348972540461,628.5595138806149,506.0,2022-08-29
3589.5709522943566,1784.7468723936622,448.0,2022-08-30
3657.189670849244,1753.4332777314435,430.0,2022-08-31
3423.9212535402035,1804.0370546884312,524.2196773796328,2022-09-01
126.17520296084051,1803.0648159180273,530.0,2022-09-02
797.8593600764087,1803.0648159180273,512.0,2022-09-03
3530.235494269341,1724.6526867627788,454.0,2022-09-04
3955.3951766953205,1803.0648159180273,436.0,2022-09-05
1045.0772667699275,1603.1077088049574,554.0,2022-09-06
4974.023703977341,867.152865483141,536.0,2022-09-07
4818.339576892768,770.9034910044088,518.0,2022-09-08
1527.9870279444744,1051.9304182056478,500.0,2022-09-09
4298.6156877007925,1217.901048492792,442.0,2022-09-10
4602.433791059223,1496.5007148814493,493.8634081422782,2022-09-11
2927.7689231136574,1760.774335755988,542.0,2022-09-12
3365.0796084226076,1804.0370546884312,524.0,2022-09-13
4937.3538219070115,609.7973311092576,506.0,2022-09-14
6687.551918530642,142.1787203622066,448.0,2022-09-15
3074.5446513849092,1279.8286071726445,430.0,2022-09-16
2740.119684849943,1803.3031097343028,515.0650748782101,2022-09-17
4168.926486885851,995.3650661265342,530.0,2022-09-18
2311.6836394495963,1625.253782914334,512.0,2022-09-19
4484.065951385101,1493.9969617538432,454.0,2022-09-20
3853.420682548341,1196.0978196115814,436.0,2022-09-21
5058.844107868488,1621.8216966519726,529.90148996429,2022-09-22
