date,NDBI,NDBI_smooth
2019-08-19,-0.22864278541796101,-0.22819200583164498
2019-08-20,-0.2344862325928769,-0.24188832776112942
2019-08-21,-0.24032967976779282,-0.25859950886588917
2019-08-22,-0.262367170657702,-0.2759711360514765
2019-08-23,-0.2844046615476112,-0.29192771510839494
2019-08-24,-0.3064421524375204,-0.3046726707120997
2019-08-25,-0.32847964332742957,-0.303410887102483
2019-08-26,-0.35051713421733877,-0.3032136983070661
2019-08-27,-0.3245720970018913,-0.30284687844324854
2019-08-28,-0.2986270597864439,-0.3012332685377717
2019-08-29,-0.2726820225709964,-0.29745277652671875
2019-08-30,-0.24673698535554897,-0.28928716824398404
2019-08-31,-0.22079194814010153,-0.2804573987965705
2019-09-01,-0.3281762510844215,-0.2745140091431173
2019-09-02,-0.3166638047770605,-0.27483712609389954
2019-09-03,-0.30515135846969954,-0.28463646231082856
2019-09-04,-0.2936389121623386,-0.3039562857974401
2019-09-05,-0.28212646585497764,-0.3289339304262304
2019-09-06,-0.3229947201390985,-0.35556986748118097
2019-09-07,-0.36386297442321935,-0.37972770565775826
2019-09-08,-0.40473122870734024,-0.3971341910629141
2019-09-09,-0.4455994829914611,-0.42184019277566853
2019-09-10,-0.48646773727558196,-0.4430922079956928
2019-09-11,-0.4756460160910261,-0.45852319472845304
2019-09-12,-0.46482429490647015,-0.4657598600733265
2019-09-13,-0.45400257372191427,-0.4624226602236016
2019-09-14,-0.4431808525373584,-0.45579014319007694
2019-09-15,-0.43235913135280246,-0.44548985606973934
2019-09-16,-0.4215374101682466,-0.43192631191915765
2019-09-17,-0.4107156889836907,-0.4162809897544827
2019-09-18,-0.3998939677991348,-0.40051233455144686
2019-09-19,-0.3890722466145789,-0.37556246424253503
2019-09-20,-0.378250525430023,-0.3448311199938461
2019-09-21,-0.33326404118034125,-0.31143283923527537
2019-09-22,-0.28827755693065943,-0.2781969556605145
2019-09-23,-0.24329107268097763,-0.24766759922705134
2019-09-24,-0.19830458843129584,-0.2221913304689359
2019-09-25,-0.15331810418161404,-0.2036688432772772
2019-09-26,-0.17401139584756745,-0.19372686297528383
2019-09-27,-0.19470468751352082,-0.19505847906752147
2019-09-28,-0.21539797917947423,-0.20762553578368337
2019-09-29,-0.23609127084542764,-0.2287990204366792
2019-09-30,-0.25678456251138104,-0.25384030667505286
2019-10-01,-0.2762363680798192,-0.27788686139862484
2019-10-02,-0.2956881736482574,-0.29595224475849213
2019-10-03,-0.31513997921669556,-0.3029261101570285
2019-10-04,-0.31560373750398657,-0.3000963631583501
2019-10-05,-0.3160674957912776,-0.28930043737961775
2019-10-06,-0.2847727072755317,-0.2725165078389838
2019-10-07,-0.2534779187597859,-0.251863490955592
2019-10-08,-0.22218313024404007,-0.22960104454957753
2019-10-09,-0.19088834172829425,-0.2076345639891486
2019-10-10,-0.15959355321254842,-0.18867894578074326
2019-10-11,-0.1647349200689502,-0.17553716884581122
2019-10-12,-0.16987628692535203,-0.16847118028188546
2019-10-13,-0.17501765378175382,-0.16310701277762693
2019-10-14,-0.18015902063815564,-0.16873547064446234
2019-10-15,-0.18530038749455743,-0.18230043064817264
2019-10-16,-0.19501908620422934,-0.20056056445020176
2019-10-17,-0.20473778491390124,-0.22008933860765661
2019-10-18,-0.21445648362357314,-0.23727501457330707
2019-10-19,-0.22417518233324504,-0.25041772387409555
2019-10-20,-0.3173708516263687,-0.2607947080615421
2019-10-21,-0.3065412271398654,-0.26944980268009633
2019-10-22,-0.2957116026533622,-0.27719343726713774
2019-10-23,-0.28488197816685895,-0.28460263535297536
2019-10-24,-0.27405235368035574,-0.29738020812488186
2019-10-25,-0.2632227291938525,-0.3120506285046265
2019-10-26,-0.29415545983152086,-0.3255522089237618
2019-10-27,-0.32508819046918924,-0.33523710132362383
2019-10-28,-0.3560209211068576,-0.35042964692842543
2019-10-29,-0.386953651744526,-0.35829249216406067
2019-10-30,-0.4178863823821944,-0.3591232714103311
2019-10-31,-0.38187581526079784,-0.3530583998873939
2019-11-01,-0.34586524813940134,-0.34007307365576234
2019-11-02,-0.3098546810180048,-0.31998126961630524
2019-11-03,-0.27384411389660823,-0.2987436937633497
2019-11-04,-0.23783354677521168,-0.278626483273488
2019-11-05,-0.2448186394293949,-0.2621798637614595
2019-11-06,-0.25180373208357815,-0.252238149280151
2019-11-07,-0.2587888247377613,-0.25191974232059666
2019-11-08,-0.26577391739194456,-0.2553580618145689
2019-11-09,-0.2727590100461278,-0.26109020268639144
2019-11-10,-0.27229996826851577,-0.26733152659935844
2019-11-11,-0.27184092649090374,-0.2719756619557341
2019-11-12,-0.2713818847132917,-0.272594503896753
2019-11-13,-0.2709228429356797,-0.2712279791113469
2019-11-14,-0.2704638011580677,-0.2703501055900122
2019-11-15,-0.2700047593804556,-0.2700272210229233
2019-11-16,-0.26954571760284357,-0.2704065159023613
2019-11-17,-0.26908667582523155,-0.2717160335227147
2019-11-18,-0.2686276340476195,-0.2738932101430954
2019-11-19,-0.2681685922700075,-0.27620578021278563
2019-11-20,-0.2841921893644562,-0.27801948459288306
2019-11-21,-0.28224304738580225,-0.2787980705563008
2019-11-22,-0.28029390540714827,-0.27810329178776727
2019-11-23,-0.27834476342849435,-0.27474326296311635
2019-11-24,-0.27639562144984037,-0.26918545510796565
2019-11-25,-0.26510687116662546,-0.2618861603494008
2019-11-26,-0.2538181208834106,-0.2532904919159755
2019-11-27,-0.2425293706001957,-0.24383238413771116
2019-11-28,-0.23124062031698078,-0.2331058044328347
2019-11-29,-0.2199518700337659,-0.22289419115422
2019-11-30,-0.22072809654394268,-0.22134604161993304
2019-12-01,-0.22150432305411946,-0.2260665170763836
2019-12-02,-0.22228054956429621,-0.23494494884605513
2019-12-03,-0.223056776074473,-0.24235236196432167
2019-12-04,-0.22383300258464978,-0.2481190796883585
2019-12-05,-0.26868172271124324,-0.2519533689030476
2019-12-06,-0.31353044283783665,-0.25344144012097747
2019-12-07,-0.2801805074530493,-0.25204744748244323
2019-12-08,-0.24683057206826192,-0.24900946485385245
2019-12-09,-0.21348063668347456,-0.2442877413937916
2019-12-10,-0.21567911553867972,-0.2378585578719898
2019-12-11,-0.21787759439388488,-0.22971422666931862
2019-12-12,-0.22007607324909007,-0.21986309177779217
2019-12-13,-0.22227455210429523,-0.2132645686304478
2019-12-14,-0.22447303095950039,-0.21432201079163588
2019-12-15,-0.22347776443843098,-0.21687648884159522
2019-12-16,-0.22248249791736158,-0.2207082122272836
2019-12-17,-0.22148723139629217,-0.22357516704655267
2019-12-18,-0.22049196487522277,-0.2288371090439978
2019-12-19,-0.21949669835415336,-0.23547949567525772
2019-12-20,-0.2350382589009492,-0.24260720638105226
2019-12-21,-0.25057981944774504,-0.24944454258718207
2019-12-22,-0.2661213799945409,-0.25533522770452866
2019-12-23,-0.26945565493681367,-0.25727202322648557
2019-12-24,-0.2727899298790864,-0.2562819679831073
2019-12-25,-0.26179227938284877,-0.2532225979364007
2019-12-26,-0.25079462888661114,-0.24878194618032407
2019-12-27,-0.2397969783903735,-0.2434785429407882
2019-12-28,-0.22879932789413587,-0.24244184261022456
2019-12-29,-0.21780167739789824,-0.24504783953448628
